Depth_cm,Age_BP_Sh13,Age_BP_Sh20_min,Age_BP_Sh20_max,Age_BP_Sh20_median,Age_BP_Sh20_mean,RABD620,R850_R900,LOESS_100_age,LOESS_100_R850_R900,Predicted,Residuals,age_plot,R850_R900_mean,R850_R900_sd,Depth_0.1cm,Age_BP_Sh20_min_0.1cm,Age_BP_Sh20_max_0.1cm,Age_BP_Sh20_median_0.1cm,Age_BP_Sh20_mean_0.1cm,R850_R900_0.1cm,Depth_0.1cm,Age_BP_Sh20_min_0.5cm,Age_BP_Sh20_max_0.5cm,Age_BP_Sh20_median_0.5cm,Age_BP_Sh20_mean_0.5cm,R850_R900_0.5cm,,depth,min,max,median,mean
0.4459,-57.5,-64.91,-55.55,-60.99,-60.66,1.021078208,0.99479666,6400,1.004769114,0.992435588,0.002361072,,,,6.5,-47.42,-12.06,-28.35,-28.91,0.984388554,32.5,6892.68,7216.61,7053.38,7057.65,0.93657209,,0.4459,-64.91,-55.55,-60.99,-60.66
0.45276,-57.4,-64.88,-55.46,-60.96,-60.62,1.018316577,1.001272058,6500,0.994175783,0.992448885,0.008823173,,,,6.6,-46.62,-11.96,-27.6,-28.33,0.982767334,33,6955.2,7236.22,7095.64,7097.93,0.971991307,,0.45276,-64.88,-55.46,-60.96,-60.62
0.45962,-57.4,-64.86,-55.37,-60.93,-60.58,1.017087587,1.003085046,6600,0.986231082,0.992448885,0.010636161,,,,6.7,-46.15,-11.79,-26.88,-27.74,0.985692884,33.5,7004.31,7277.43,7136.5,7138.2,0.985416418,,0.45962,-64.86,-55.37,-60.93,-60.58
0.46648,-57.4,-64.84,-55.28,-60.9,-60.55,1.017441717,1.00551485,6700,0.981484312,0.992448885,0.013065965,,,,6.8,-45.33,-11.49,-26.11,-27.16,0.975233045,34,7035.97,7329.77,7175.84,7178.47,0.959828717,,0.46648,-64.84,-55.28,-60.9,-60.55
0.47334,-57.3,-64.82,-55.19,-60.87,-60.51,1.018077402,0.999142188,6800,0.977852227,0.99246187,0.006680318,,,,6.9,-44.69,-11.35,-25.4,-26.58,0.972773825,34.5,7110.58,7356.65,7222.75,7223.38,0.947150349,,0.47334,-64.82,-55.19,-60.87,-60.51
0.4802,-57.2,-64.8,-55.11,-60.83,-60.47,1.017660174,0.9970082,6900,0.971386439,0.992474741,0.004533459,,,,7,-44.36,-11.01,-24.75,-25.99,0.98166271,35,7161.59,7382.67,7266.35,7268.28,0.941834335,,0.4802,-64.8,-55.11,-60.83,-60.47
0.48706,-57.1,-64.78,-55.01,-60.8,-60.43,1.017428768,1.001492256,7000,0.969099676,0.992487736,0.00900452,,,,7.1,-43.98,-10.7,-24.08,-25.41,0.984257457,35.5,7200.39,7414.77,7307.24,7313.19,0.96290553,,0.48706,-64.78,-55.01,-60.8,-60.43
0.49392,-57,-64.76,-54.91,-60.76,-60.39,1.015096656,0.99364024,7100,0.957369901,0.992500313,0.001139927,,,,7.2,-43.54,-10.32,-23.51,-24.83,0.981509419,36,7227.16,7458.63,7348.99,7358.1,0.864272471,,0.49392,-64.76,-54.91,-60.76,-60.39
0.50078,-56.8,-64.74,-54.81,-60.73,-60.35,1.013574596,0.98572255,7200,0.901861948,0.992525605,-0.006803055,,,,7.3,-43.35,-9.96,-23.03,-24.24,0.978959682,36.5,7241.6,7464.08,7358.35,7366.89,0.867685871,,0.50078,-64.74,-54.81,-60.73,-60.35
0.50764,-56.7,-64.73,-54.7,-60.69,-60.31,1.016448239,0.985143651,7300,0.866976938,0.99253817,-0.007394519,,,,7.4,-42.99,-9.66,-22.32,-23.66,0.975489166,37,7257.13,7473.37,7368.01,7375.68,0.840827379,,0.50764,-64.73,-54.7,-60.69,-60.31
0.5145,-56.6,-64.71,-54.6,-60.66,-60.27,1.01635051,0.981780938,7400,0.885252663,0.992550537,-0.010769599,,,,7.5,-42.55,-9.33,-21.67,-23.08,0.98859951,37.5,7268.31,7481.86,7377.89,7384.47,0.852463754,,0.5145,-64.71,-54.6,-60.66,-60.27
0.52136,-56.5,-64.7,-54.5,-60.63,-60.23,1.01744227,0.990396956,7500,0.930114202,0.99256273,-0.002165774,,,,7.6,-42.25,-9.07,-21.1,-22.49,0.987868005,38,7272.85,7493.11,7386.15,7393.26,0.876975544,,0.52136,-64.7,-54.5,-60.63,-60.23
0.52822,-56.4,-64.69,-54.4,-60.6,-60.19,1.019728151,0.990715781,7600,0.967310652,0.992574887,-0.001859106,,,,7.7,-42.15,-8.6,-20.49,-21.91,0.973594244,38.5,7287.68,7497.5,7395.09,7401.4,0.887984191,,0.52822,-64.69,-54.4,-60.6,-60.19
0.53508,-56.3,-64.67,-54.3,-60.57,-60.16,1.022703826,0.995913222,7700,0.985101724,0.992587129,0.003326093,,,,7.8,-41.82,-8.19,-19.86,-21.33,0.974952391,39,7293.32,7505.92,7404.6,7409.53,0.893907203,,0.53508,-64.67,-54.3,-60.57,-60.16
